Dates;Market;SMB;HML;RMW;CMA;UMD;ROE;IA;BAB
198205;-0,0399;0,0047;0,0181;0,0091;-0,0009;0,0255;-0,004668;-0,005126;0,0248
198206;-0,0309;-0,004;0,0154;0,0003;0,0272;0,05;0,001351;0,028363;-0,0049
198207;-0,0319;0,0084;0,0015;0,0103;0,0154;0,0447;0,028115;0,020984;0,0149
198208;0,1114;-0,0411;0,0116;-0,0196;0,0018;-0,0352;-0,012378;-0,00524;-0,0227
198209;0,0129;0,0288;0,0034;0,0212;-0,0004;0,0417;0,036253;0,010037;0,0755
198210;0,113;0,0235;-0,0368;0,003;-0,0037;0,0003;-0,007911;-0,010627;0,0278
198211;0,0467;0,0477;-0,0196;-0,0105;0,0032;0,0589;0,032276;0,01401;0,0673
198212;0,0055;-0,0018;0,0001;-0,0007;0,0103;0,0002;-0,007457;0,004203;0,0304
198301;0,036;0,027;-0,0086;-0,015;-0,0046;-0,017;-0,024907;-0,007363;0,0268
198302;0,0259;0,0323;0,0067;-0,0057;0,0102;0,0383;0,031079;0,015546;0,0833
198303;0,0282;0,0177;0,0207;-0,0007;0,0281;0,0093;0,012412;0,028076;0,0653
198304;0,0667;0,0053;0,006;-0,0016;0,016;0,018;0,005924;0,021438;0,0467
198305;0,0052;0,0616;-0,014;-0,0185;-0,0153;-0,0159;-0,036447;-0,015267;0,0313
198306;0,0307;0,0091;-0,0387;0,0252;-0,0089;0,0178;0,016774;-0,01105;0,0288
198307;-0,0407;0,0146;0,0562;-0,0003;0,0284;-0,0313;0,01194;0,027744;0,038
198308;-0,005;-0,043;0,0555;0,0045;0,0195;-0,0544;-0,004458;0,011896;-0,0088
198309;0,0091;0,0056;0,0109;0,0121;0,0059;-0,001;0,032784;0,013672;0,0347
198310;-0,0344;-0,036;0,0506;-0,0081;0,0297;-0,0456;0,016521;0,026752;0,0348
198311;0,0216;0,0204;-0,0062;-0,0048;0,0064;-0,0009;-0,002409;0,011084;-0,0013
198312;-0,0178;-0,0029;0,0167;0,0159;0,0121;0,0074;-0,015443;0,013314;0,0136
198401;-0,0192;-0,0043;0,0763;-0,0093;0,03;-0,0249;-0,037142;0,02328;0,033
198402;-0,0482;-0,0171;0,0336;0,0082;0,0157;0,0019;-0,007799;0,009164;-0,0192
198403;0,0063;0,0007;0,0048;-0,0093;0,0109;0,0109;-0,006017;0,007269;-0,0022
198404;-0,0051;-0,012;0,0129;0,0327;0,0076;0,0205;0,021327;0,010354;-0,0019
198405;-0,0597;0,0003;0,0026;0,0232;-0,005;0,0152;0,018025;-0,014655;0,0177
198406;0,0182;-0,0032;-0,026;0,0308;-0,0151;-0,007;0,018586;-0,022535;0,0075
198407;-0,0274;-0,0221;0,0049;0,0369;-0,0217;0,0293;0,036501;-0,012812;0,0291
198408;0,1028;-0,0025;-0,0185;-0,0089;-0,0081;-0,0569;0,009506;-0,004724;0,0003
198409;-0,008;0,002;0,0532;0,014;0,0253;0,0367;0,002349;0,025778;0,0445
198410;-0,0084;-0,012;0,0051;0,0117;-0,0116;0,0321;0,026866;-0,003578;0,0269
198411;-0,0176;-0,0062;0,0408;0,0081;0,0208;0,017;0,008011;0,022392;0,0126
198412;0,0184;-0,006;-0,0017;0,0121;-0,0126;0,0154;0,025505;-0,008247;0,0026
198501;0,0799;0,0327;-0,0543;-0,0083;-0,0336;-0,069;0,009728;-0,034515;0,0208
198502;0,0122;0,0076;-0,0012;0,0126;0,0103;0,0182;0,015462;0,010906;0,0479
198503;-0,0084;-0,0115;0,041;0,0118;0,0294;0,0168;0,009211;0,033007;0,0332
198504;-0,0096;0,0014;0,0373;0,0159;0,0071;0,0306;0,001247;0,014025;0,0332
198505;0,0509;-0,0225;-0,0086;0,013;-0,0139;0,04;0,032192;-0,012263;0,0155
198506;0,0127;0,0046;0,004;0,0173;-0,0059;0,0363;0,029012;-0,001952;0,0295
198507;-0,0074;0,0285;-0,0163;-0,0045;-0,0031;-0,0394;-0,018254;-0,008273;-0,0048
198508;-0,0102;-0,0034;0,0228;-0,0004;0,0188;0,0182;0,004306;0,020991;0,0083
198509;-0,0454;-0,0158;0,0132;0,0116;0,0161;0,0148;0,012;0,019838;0,0048
198510;0,0402;-0,0157;0,0078;0,0092;-0,0111;0,0488;0,021957;0,00262;0,0222
198511;0,0648;0,0023;-0,0287;0,0029;-0,0233;-0,004;0,018021;-0,016424;0,0239
198512;0,0388;-0,0049;-0,0153;0,0097;-0,018;-0,0013;0,017907;-0,014693;0,0316
198601;0,0065;0,0122;0,0053;-0,0202;-0,0205;0,0296;0,017395;-0,007089;0,0181
198602;0,0713;-0,0065;-0,0094;0,0115;-0,0139;0,0278;0,022439;-0,014614;0,044
198603;0,0488;-0,0052;-0,0044;0,0112;0,0099;0,0245;0,020588;0,010696;0,0453
198604;-0,0131;0,0284;-0,0285;0,0291;0,0002;-0,005;0,006536;-0,015629;0,0187
198605;0,0462;-0,0132;-0,0011;0,0208;0,0111;0,0202;0,034486;0,012742;0,0332
198606;0,0103;-0,0091;0,014;0,0183;0,0087;0,0516;0,05297;0,016352;0,0512
198607;-0,0645;-0,0338;0,0478;-0,0057;0,0061;0,018;0,030072;0,013587;0,0142
198608;0,0607;-0,0417;0,0352;-0,0174;0,0324;-0,0501;-0,027171;0,030888;-0,0159
198609;-0,086;0,0228;0,0319;-0,0005;0,0362;-0,0586;-0,038269;0,033936;-0,0244
198610;0,0466;-0,0248;-0,0132;0,0013;0,0089;0,0269;0,009132;0,000726;-0,0146
198611;0,0117;-0,0192;-0,0006;0,0112;0,0061;-0,0032;0,010802;0,003937;-0,0097
198612;-0,0327;0,0008;0,0037;0,0083;-0,0003;0,004;0,01867;0,010972;-0,0222
198701;0,1247;-0,0181;-0,0318;0,002;-0,0109;0,021;0,009773;-0,012057;0,0363
198702;0,0439;0,0349;-0,0599;-0,009;-0,0276;-0,0217;0,021111;-0,019813;0,0053
198703;0,0164;0,0037;0,0166;0,0136;0,0403;0,016;-0,011975;0,041787;0,0494
198704;-0,0211;-0,0169;-0,0033;-0,0046;0,0122;0,0026;-0,014873;0,002809;0,0042
198705;0,0011;-0,0053;0,0013;0,0052;0,0132;-0,0068;-0,023887;-0,00089;-0,0035
198706;0,0394;-0,0218;0,0107;0,0173;0,0083;-0,002;0,014062;0,013796;0,0225
198707;0,0385;-0,0067;0,0066;-0,005;0,0156;0,0267;-0,01774;0,000906;0,0425
198708;0,0352;-0,0072;-0,009;0,0203;-0,0159;-0,0087;0,038224;-0,0024;-0,0054
198709;-0,0259;0,0052;0,0028;-0,009;0,0189;0,0071;0,005862;0,018849;0,0006
198710;-0,2324;-0,0843;0,0423;0,0201;0,0239;-0,0786;0,00571;0,033037;-0,1269
198711;-0,0777;0,0277;0,0314;-0,0192;0,0071;-0,0115;-0,007044;0,006495;0,0436
198712;0,0681;0,0013;-0,0449;0,0301;-0,0236;0,0583;0,038851;-0,024618;-0,0926
198801;0,0421;-0,0077;0,0508;-0,0112;0,0209;-0,0758;-0,040738;0,013266;0,0373
198802;0,0475;0,0336;-0,0165;0,0156;-0,0011;-0,0154;0,010481;-0,005932;-0,0118
198803;-0,0227;0,0616;0,0074;-0,0016;0,0191;0,0063;-0,021454;0,016329;0,0552
198804;0,0056;0,0096;0,0169;-0,0023;0,019;0,0225;0,006524;0,021413;0,0185
198805;-0,0029;-0,0264;0,023;-0,007;0,0038;0,0064;-0,001385;0,004606;0,0099
198806;0,0479;0,0216;-0,0107;0,0142;-0,0325;-0,0291;0,023096;-0,030728;-0,0054
198807;-0,0125;-0,0021;0,0227;-0,0059;0,0145;0,0063;-0,01183;0,011126;0,0158
198808;-0,0331;0,0004;0,0203;-0,0076;0,0174;0,0033;-0,021331;0,016595;0,0146
198809;0,033;-0,0125;-0,0068;0,0172;-0,0048;0,0024;0,021637;-0,003702;-0,0213
198810;0,0115;-0,029;0,0171;0,014;0,0104;0,0131;0,001131;0,004982;0,0021
198811;-0,0229;-0,0174;0,0124;-0,0031;0,016;0,0042;-0,004641;0,013915;-0,0193
198812;0,0149;0,0195;-0,0155;0,0064;-0,0037;0,0042;0,008732;0,004733;-0,0253
198901;0,061;-0,0214;0,0051;-0,0103;0,0016;-0,0014;-0,003618;0,000239;0,0086
198902;-0,0225;0,0276;0,0087;-0,0082;0,0189;0,0094;-0,004831;0,01586;0,0104
198903;0,0157;0,0074;0,0046;0,0001;0,0079;0,0355;-0,000879;0,01296;0,0206
198904;0,0433;-0,0059;-0,0145;0,0076;-0,0054;0,0169;0,011675;-0,00274;0,009
198905;0,0335;-0,0004;-0,0082;0,0049;-0,0004;0,0156;0,0131;0,001261;-0,0044
198906;-0,0135;-0,0101;0,0219;0,0024;0,0152;0,0065;-0,001784;0,015784;0,0201
198907;0,072;-0,0402;-0,0284;0,0199;-0,0062;0,0544;0,049021;-0,003429;0,0086
198908;0,0144;0,005;0,0072;0,0041;-0,005;-0,0014;0,016706;-0,004271;0,0092
198909;-0,0076;0,0028;-0,0134;0,014;0,0059;0,034;0,016168;0,011867;0,0008
